x,y,z
120.8921506,23.47558667,2846
120.880845,23.46778667,2849
121.28,24.42,2851
120.9135633,23.47084055,2852
120.8935735,23.47555253,2852
121.42,24.39,2866
121.276301,24.440537,2873
121.11,24.32,2875
121.266677,24.422496,2875
120.91793,23.47065,2878
121.4357,24.40642,2881
121.27,23.88,2884
121.2820886,24.38756882,2885
121.2791667,24.1661111,2885
120.9159997,23.4710549,2885
120.904722,23.256389,2891
121.3064367,24.1245695,2893
121.2805221,24.0461199,2894
120.9065383,23.25572167,2896
121.3063972,24.12468889,2897
121.15,23.47,2904
121.1,24.33,2913
121.3061306,24.12484444,2918
121.28139,24.38889,2921
121.1,24.2,2922
121.23,23.75,2929
121.3058917,24.12511389,2930
121.281425,24.38852833,2944
121.26,23.98,2955
120.9254133,23.46886167,2957
121.2,24.39,2961
121.2897364,24.1675762,2963
120.904389,23.259028,2966
121.2806867,24.38891667,2974
121.21,24.46,2982
120.7569793,22.6210459,2986
121.1610692,23.4811174,2986
121.22,24.46,2986
121.41,24.38,2987
120.7566276,22.61991255,2988
121.280317,24.38941551,2989
121.37,24.1,2989
121.287866,24.1624906,2989
121.2876248,24.16365699,2993
121.28063,24.38894,2995
121.28045,24.38887,2995
121.2873954,24.16281926,2996
121.2873975,24.16282592,2996
121.2873726,24.16289866,2996
121.287445,24.16299167,2996
121.2874147,24.1628743,2996
121.05,23.29,2997
120.9264367,23.46785333,2999
120.76049,22.62508,2999
121.02,23.31,3002
121.2585528,24.35520833,3010
120.93964,23.25521,3015
120.7608681,22.62593882,3016
120.94907,23.591997,3016
121.2885388,24.1405818,3022
121.3210139,24.11480278,3022
121.2888953,24.1389902,3033
120.9286633,23.46577833,3038
120.9566668,23.2769242,3045
121.236929,24.471907,3046
121.28,24.05,3049
120.9377772,23.2491459,3054
121.287779,24.435125,3055
121.28,24.15,3057
121.16,23.48,3062
121.25,24.47,3067
120.9854367,23.26626167,3072
121.282024,24.05033979,3077
121.18,23.59,3081
121.280693,24.432899,3082
121.4144667,24.38036111,3089
121.12,24.32,3091
121.28,24.13,3104
120.9888383,23.36825333,3109
121.28283,24.14232,3115
121.04,23.29,3117
121.02,23.29,3119
120.93,23.44,3123
121.2796869,24.14120667,3125
121.42,24.38,3125
121.27,24.39,3136
121.2971904,24.43324816,3137
121.2974501,24.43330826,3139
121.2974205,24.43331803,3139
121.2970127,24.43313652,3141
121.2838412,24.14636964,3145
121.264214,24.3893,3146
121.268106,24.431531,3146
121.2960139,24.43289596,3151
121.28,24.16,3158
121.4208361,24.38121667,3161
121.2,24.32,3161
121.2547083,24.3922944,3165
121.2720306,24.3887503,3170
121.4208,24.38125833,3172
121.27,24.05,3174
121.28,24.14,3174
121.04,23.31,3178
120.98,23.28,3182
121.2594224,24.3898175,3185
121.2681117,24.38900833,3186
121.1523055,23.86726333,3189
120.95,23.44,3194
121.251362,24.46699,3195
120.937423,23.46911974,3198
121.4249333,24.38112222,3205
121.43,24.37,3206
120.93708,23.46905833,3208
121.2,24.36,3211
120.917658,23.47549,3218
121.43,24.38,3228
121.2455556,24.4683333,3229
121.284347,24.13701488,3235
121.43,24.36,3237
121.44,24.35,3239
121.03,23.29,3250
120.874196,23.051164,3256
121.45,24.35,3260
121.2485712,24.46648912,3267
121.01,23.29,3278
120.903583,23.229944,3293
120.9448383,23.46546167,3299
120.9447117,23.46554167,3299
121.1201472,23.83732,3303
120.9436283,23.46615833,3304
121.2555,24.46526333,3312
121.11,24.33,3319
120.99,23.28,3328
121.21,24.37,3332
121.25322,24.45570333,3345
121.22,24.38,3353
121.04,23.3,3364
121.0201533,23.2954338,3370
121.252145,24.45558667,3372
121.2568367,24.42519167,3375
121.258479,24.430302,3390
121.46,24.35,3393
121.208145,24.36360833,3395
121.2169581,24.3791716,3403
121.0475,23.4882,3412
121.2677615,24.42782982,3415
121.2166667,24.3833333,3420
121.0344979,23.303681,3430
120.95,23.4666667,3433
121.20758,24.36073333,3437
120.9920662,23.28227672,3447
121.03,23.3,3450
121.24,24.39,3489
121.2010717,24.34616333,3506
121.2010283,24.34625,3506
120.9526378,23.4667216,3508
121.200905,24.34626667,3513
121.2003117,24.33977833,3517
120.9469444,23.4591667,3522
121.2223148,24.3848627,3534
121.2006383,24.34520333,3536
121.2004917,24.34099167,3542
121.2000283,24.34283,3549
121.200295,24.344075,3557
121.2006217,24.34439667,3563
121.2478363,24.42389728,3577
121.0746695,23.51820333,3585
120.9547222,23.4727778,3602
121.2394379,24.40343177,3653
121.0644528,23.504945,3663
121.44,24.36,3702
120.9561457,23.46100855,3766
120.957455,23.47,3866
